product_id,product_name,category,price
1,Ноутбук ASUS VivoBook X515,Электроника,54999.99
2,Мышь беспроводная Logitech M720,Аксессуары,3499.99
3,Наушники Sony WH-1000XM5,Электроника,38999.99
4,Клавиатура механическая HyperX,Аксессуары,8999.99
5,Монитор Samsung 27",Электроника,32999.99
6,Внешний жесткий диск Seagate 2TB,Компьютерные комплектующие,7999.99
7,Веб-камера Logitech C920,Аксессуары,5999.99
8,Роутер TP-Link Archer AX73,Сетевое оборудование,12999.99
9,Игровая консоль PlayStation 5,Игровые приставки,59999.99
10,Смартфон Samsung Galaxy S23,Смартфоны,89999.99
11,Планшет Apple iPad Air,Планшеты,74999.99
12,Умные часы Apple Watch Series 9,Гаджеты,45999.99